Num Training Games,Scores,Mean Score,Standard Deviation,Execution Time
25,"[604.0, 448.0, 595.0, 670.0, 554.0]",574.2,81.90360187439866,2.59926438331604
50,"[654.0, 624.0, 406.0, 628.0, 592.0]",580.8,100.16586244824131,2.5757832527160645
100,"[640.0, 616.0, 612.0, 586.0, 646.0]",620.0,24.041630560342615,5.648349046707153
200,"[546.0, 600.0, 568.0, 492.0, 602.0]",561.6,45.374001366421275,11.043046474456787
300,"[574.0, 558.0, 566.0, 516.0, 388.0]",520.4,77.32270041844116,19.041959285736084
400,"[608.0, 570.0, 574.0, 568.0, 576.0]",579.2,16.407315441594946,24.51335906982422
500,"[497.0, 572.0, 572.0, 570.0, 572.0]",556.6,33.32866633995426,31.83613157272339
600,"[576.0, 668.0, 574.0, 574.0, 577.0]",593.8,41.49939758598912,36.3798725605011
700,"[574.0, 576.0, 573.0, 662.0, 568.0]",590.6,40.02249367543207,43.2251935005188
800,"[640.0, 574.0, 480.0, 576.0, 568.0]",567.6,57.06838003658418,48.64578437805176
900,"[535.0, 572.0, 574.0, 574.0, 572.0]",565.4,17.02351315093333,54.09245204925537
1000,"[572.0, 616.0, 572.0, 572.0, 551.0]",576.6,23.82855429941145,60.77221131324768
1100,"[574.0, 572.0, 572.0, 565.0, 571.0]",570.8,3.420526275297414,64.6684467792511
1200,"[574.0, 618.0, 584.0, 668.0, 572.0]",603.2,40.659562220958556,72.76813507080078
1300,"[574.0, 574.0, 574.0, 572.0, 574.0]",573.6,0.8944271909999159,78.75838971138
1400,"[570.0, 600.0, 596.0, 576.0, 572.0]",582.8,14.11382301150188,79.35070443153381
1500,"[576.0, 576.0, 576.0, 572.0, 574.0]",574.8,1.7888543819998317,91.22300457954407
